song,acronym
A Place in this World,APITW
All Too Well,ATW
All Too Well (Ten Minute Version),ATWTMV
All You Had To Do Was Stay,AYHTDWS
Bigger Than The Whole Sky,BTTWS
Death By A Thousand Cuts,DBYATC
Dancing With Our Hands Tied,DWOHT
How You Get The Girl,HYGTG
I Forgot That You Existed,IFTYE
I Knew You Were Trouble,IKYWT
It's Nice To Have A Friend,INTHAF
I'm Only Me When I'm With You,IOMWIWY
If This Was A Movie,ITWAM
I Wish You Would,IWYW
Look What You Made Me Do,LWYMMD
Miss Americana & The Heartbreak Prince,MAATHP
right where you left me,RWYLM
Soon You'll Get Better,SYGB
This Is Why We Can't Have Nice Things,TIWWCHNT
the last great american dynasty,TLGAD
The Other Side Of The Door,TOSOTD
Tied Together with a Smile,TTWAS
We Are Never Ever Getting Back Together,WANEGBT
"Would've, Could've, Should've",WCS
When Emma Falls in Love,WEFIL
Welcome To New York,WTNY
You Need To Calm Down,YNTCD
"You're On Your Own, Kid",YOYOK
